id,entry_type,chinese,pinyin_modern,period,year_start,year_end,source_text,attestation_confidence,lhan_schuessler,emc_baxter_mc,proposed_reading,proposed_language,proposed_meaning,proposer,reading_confidence,verification_status,notes,lhan_detail,lhan_coverage,ocm_naive_join,ocm_detail,ocm_coverage
T01,title,單于,chanyu,Western Han,,,Shiji 110; Hanshu 94A,high,dźan wɑ,PENDING,*darγwa ? / *tarqan ?,contested,'supreme ruler',various,low,AUTO_JOINED_LHAN,The supreme ruler title. Central to the debate; no consensus reading. Attested across the entire Xiongnu period.,單=dźan|tɑn ; 于=wɑ,2/2,dan wa,單=dan|tân ; 于=wa,2/2
T02,title,撑犁孤塗單于,chengli gutu chanyu,Western Han,,,Hanshu 94A,high,ḍaŋ lei kuɑ dɑ dźan wɑ,PENDING,tengri qutu chanyu,contested,"'Heaven's son, the Chanyu'",Hanshu supplies a Chinese gloss,high,AUTO_JOINED_LHAN,"THE most important single item. Hanshu explicitly glosses it: 撑犁 = 天 'heaven', 孤塗 = 子 'son'. A foreign phrase WITH a contemporaneous Chinese translation - the equivalent of a Rosetta line.",撑[=撐]=ḍaŋ ; 犁=lei|li ; 孤=kuɑ ; 塗=dɑ ; 單=dźan|tɑn ; 于=wɑ,6/6,? rî kwâ lâ dan wa,撑=? ; 犁=rî|ri ; 孤=kwâ ; 塗=lâ ; 單=dan|tân ; 于=wa,5/6
T03,lexical,撑犁,chengli,Western Han,,,Hanshu 94A (glossed 天),high,ḍaŋ lei,PENDING,tengri,Turkic|Mongolic,"'sky, heaven'",widely accepted,high,AUTO_JOINED_LHAN,"Strongest single datum for the Turkic/Altaic side. The tengri match is accepted by nearly everyone, though the word is also an old Wanderwort across Inner Asia.",撑[=撐]=ḍaŋ ; 犁=lei|li,2/2,? rî,撑=? ; 犁=rî|ri,1/2
T04,lexical,孤塗,gutu,Western Han,,,Hanshu 94A (glossed 子),high,kuɑ dɑ,PENDING,*qut ?,Yeniseian,'son',Vovin 2000,medium,AUTO_JOINED_LHAN,Strongest single datum for the Yeniseian side. Vovin argues Turkic has no good match for 'son' here while Yeniseian *qut fits. Directly opposes T03 in the same phrase - which is exactly why per-item probabilistic scoring matters.,孤=kuɑ ; 塗=dɑ,2/2,kwâ lâ,孤=kwâ ; 塗=lâ,2/2
T05,title,閼氏,yanzhi / ezhi,Western Han,,,Shiji 110; Hanshu 94A,high,ʔɑt dźeᴮ,PENDING,,,"'chief consort, queen'",,,AUTO_JOINED_LHAN,Title of the Chanyu's principal wife. Glossed in Chinese sources; a rare feminine-domain term.,閼=ʔɑt ; 氏=dźeᴮ|gieᴮ|tśe|kie,2/2,ʔât geʔ,閼=ʔât ; 氏=geʔ|ke,2/2
T06,title,屠耆,tuqi,Western Han,,,Hanshu 94A (glossed 賢),high,dɑ gɨ,PENDING,*toγrï ?,Turkic,"'wise, worthy'",cited in Turkic-hypothesis literature,low,AUTO_JOINED_LHAN,Chinese sources gloss 屠耆 as 賢 'worthy/wise'. Appears in 左右屠耆王 (Wise Kings of Left and Right). GLOSSED - high value.,屠=dɑ ; 耆=gɨ|tśiᴮ|kiᴮ,2/2,dâ gri,屠=dâ ; 耆=gri|kiʔ,2/2
T07,title,谷蠡,luli / guli,Western Han,,,Shiji 110; Hanshu 94A,high,kok leᴮ,PENDING,,,,,,AUTO_JOINED_LHAN,In 左右谷蠡王. Reading of the characters themselves is disputed in Chinese philology - note the irregular reading.,谷=kok|jok|lok ; 蠡=leᴮ|loiᴮ,2/2,klôk rêʔ,谷=klôk|klok|lok ; 蠡=rêʔ|rôiʔ,2/2
T08,title,當戶,danghu,Western Han,,,Shiji 110; Hanshu 94A,high,tɑŋ gɑᴮ,PENDING,,,,,,AUTO_JOINED_LHAN,Office title; 大當戶 'Great Danghu'. Characters are meaningful in Chinese - check for calque.,當=tɑŋ|tɑŋᶜ ; 戶[=户]=gɑᴮ,2/2,tâŋ gâʔ,當=tâŋ|tâŋh ; 戶[=户]=gâʔ,2/2
T09,title,骨都侯,guduhou,Western Han,,,Hanshu 94A,high,kuət tɑ go,PENDING,,,,,,AUTO_JOINED_LHAN,侯 hou is likely a Chinese rank suffix; segment as 骨都 + 侯.,骨=kuət ; 都=tɑ ; 侯=go,3/3,kût tâ gô,骨=kût ; 都=tâ ; 侯=gô,3/3
T10,title,且渠,juqu,Western Han,,,Hanshu 94A,high,tsɑᴮ gɨɑ,PENDING,,,,,,AUTO_JOINED_LHAN,Office title.,且=tsɑᴮ|tsʰiaᴮ|tsʰiɑ|tsiɑ ; 渠=gɨɑ,2/2,tsâʔ ga,且=tsâʔ|tshaʔ|tsha|tsa ; 渠=ga,2/2
