id,entry_type,chinese,pinyin_modern,period,year_start,year_end,source_text,attestation_confidence,lhan_schuessler,emc_baxter_mc,proposed_reading,proposed_language,proposed_meaning,proposer,reading_confidence,verification_status,notes,lhan_detail,lhan_coverage,ocm_naive_join,ocm_detail,ocm_coverage
R01,ruler,頭曼,Touman,Qin/Early Western Han,,-209,Shiji 110; Hanshu 94A,high,do mɑnᶜ,PENDING,tuman / tümen,Turkic,'ten thousand' (military unit),commonly cited,medium,AUTO_JOINED_LHAN,First Chanyu named in Chinese sources. Turkic tümen match is phonetically attractive but the title/numeral is itself widely borrowed across Inner Asia - weak as ethnic evidence.,頭=do ; 曼=mɑnᶜ|mɑn|muɑnᶜ,2/2,dô mâns,頭=dô ; 曼=mâns|mans,2/2
R02,ruler,冒頓,Modu / Modun,Western Han,-209,-174,Shiji 110; Hanshu 94A,high,mək tuənᶜ,PENDING,bagatur / baγatur ?,Turkic|Mongolic,"'hero, brave'",various; contested,low,AUTO_JOINED_LHAN,Founder of the empire. The Bagatur reading requires a substantial phonetic leap; several scholars reject it. Alternative readings proposed in Iranian and Yeniseian. HIGH PRIORITY test case.,冒=mək|mouᶜ ; 頓=tuənᶜ|tuət,2/2,mə̂k tûns,冒=mə̂k|mûh ; 頓=tûns,2/2
R03,ruler,稽粥,Jizhou / Jiyu,Western Han,-174,-160,Shiji 110; Hanshu 94A,high,kʰeiᴮ tśuk,PENDING,,,,,,AUTO_JOINED_LHAN,"Personal name of the Chanyu titled 老上 Laoshang. Note 老上 is a Chinese epithet, NOT a transcription - exclude it from the transcription corpus.",稽=kʰeiᴮ|kei ; 粥=tśuk,2/2,khîʔ tuk,稽=khîʔ|kî ; 粥=tuk,2/2
R04,ruler,軍臣,Junchen,Western Han,-160,-126,Shiji 110; Hanshu 94A,high,kun dźin,PENDING,,,,,,AUTO_JOINED_LHAN,Characters are semantically meaningful in Chinese ('army'+'subject') - risk that this is partly a Chinese rendering rather than pure transcription. Flag for the calque-vs-transcription filter.,軍=kun ; 臣=dźin|gin,2/2,kwən gin,軍=kwən ; 臣=gin,2/2
R05,ruler,伊稚斜,Yizhixie,Western Han,-126,-114,Shiji 110; Hanshu 94A,high,ʔi ḍiᶜ ja,PENDING,,,,,,AUTO_JOINED_LHAN,"Three-character transcription - good candidate, semantically opaque in Chinese.",伊=ʔi ; 稚=ḍiᶜ ; 斜=ja,3/3,ʔi drih ?,伊=ʔi ; 稚=drih ; 斜=?,2/3
R06,ruler,烏維,Wuwei,Western Han,-114,-105,Shiji 110; Hanshu 94A,high,ʔɑ wi,PENDING,,,,,,AUTO_JOINED_LHAN,,烏=ʔɑ ; 維=wi,2/2,ʔâ wi,烏=ʔâ ; 維=wi,2/2
R07,ruler,詹師廬,Zhanshilu,Western Han,-105,-102,Shiji 110; Hanshu 94A,high,tśam ṣi liɑ,PENDING,,,,,,AUTO_JOINED_LHAN,"Also titled 兒單于 Er Chanyu ('child Chanyu') - that is a Chinese epithet, exclude.",詹=tśam ; 師=ṣi ; 廬=liɑ,3/3,tam sri ra,詹=tam ; 師=sri ; 廬=ra,3/3
R08,ruler,呴犁湖,Xulihu / Goulihu,Western Han,-102,-101,Hanshu 94A,high,huo lei gɑ,PENDING,,,,,,AUTO_JOINED_LHAN,,呴=huo|huoᶜ ; 犁=lei|li ; 湖=gɑ,3/3,ho rî gâ,呴=ho|hoh ; 犁=rî|ri ; 湖=gâ,3/3
R09,ruler,且鞮侯,Qiedihou,Western Han,-101,-96,Hanshu 94A,high,tsɑᴮ te go,PENDING,,,,,,AUTO_JOINED_LHAN,侯 hou may be a Chinese rank suffix rather than part of the name - segment carefully.,且=tsɑᴮ|tsʰiaᴮ|tsʰiɑ|tsiɑ ; 鞮=te|de ; 侯=go,3/3,tsâʔ tê gô,且=tsâʔ|tshaʔ|tsha|tsa ; 鞮=tê|dê ; 侯=gô,3/3
R10,ruler,狐鹿姑,Hulugu,Western Han,-96,-85,Hanshu 94A,high,ɣuɑ lok kɑ,PENDING,,,,,,AUTO_JOINED_LHAN,,狐=ɣuɑ ; 鹿=lok ; 姑=kɑ,3/3,gwâ rôk kâ,狐=gwâ ; 鹿=rôk ; 姑=kâ,3/3
R11,ruler,壺衍鞮,Huyandi,Western Han,-85,-68,Hanshu 94B,high,gɑ janᴮ te,PENDING,,,,,,AUTO_JOINED_LHAN,鞮 di recurs across several Chanyu names - possible shared morpheme or title element. Worth a dedicated analysis.,壺=gɑ ; 衍=janᴮ|janᶜ ; 鞮=te|de,3/3,gâ janʔ tê,壺=gâ ; 衍=janʔ|jans ; 鞮=tê|dê,3/3
R12,ruler,虛閭權渠,Xulüquanqu,Western Han,-68,-60,Hanshu 94B,high,kʰɨɑ liɑ gyan gɨɑ,PENDING,,,,,,AUTO_JOINED_LHAN,Four characters - longest Chanyu name; useful for testing segmentation.,虛[=虚]=kʰɨɑ|hɨɑ ; 閭=liɑ ; 權=gyan ; 渠=gɨɑ,4/4,kha ra gon ga,虛[=虚]=kha|ha ; 閭=ra ; 權=gon ; 渠=ga,4/4
R13,ruler,握衍朐鞮,Woyanqudi,Western Han,-60,-58,Hanshu 94B,high,ʔɔk janᴮ guo te,PENDING,,,,,,AUTO_JOINED_LHAN,Contains the recurring 鞮 element.,握=ʔɔk ; 衍=janᴮ|janᶜ ; 朐=guo ; 鞮=te|de,4/4,ʔrôk janʔ go tê,握=ʔrôk ; 衍=janʔ|jans ; 朐=go ; 鞮=tê|dê,4/4
R14,ruler,呼韓邪,Huhanye,Western Han,-58,-31,Hanshu 94B,high,hɑ gɑn ja,PENDING,,,,,,AUTO_JOINED_LHAN,Submitted to Han; the best-documented Chanyu. Name recurs later among Southern Xiongnu.,呼=hɑ|hɑᶜ ; 韓=gɑn ; 邪=ja|ziɑ|zia,3/3,hâ gân la,呼=hâ|hâh ; 韓=gân ; 邪=la|ja|s-la|s-ja,3/3
R15,ruler,郅支,Zhizhi,Western Han,-56,-36,Hanshu 70; 94B,high,tśit tśe,PENDING,,,,,,AUTO_JOINED_LHAN,Rival Chanyu who moved west; relevant to any Xiongnu-Hun connection argument.,郅=tśit ; 支=tśe|kie,2/2,tit ke,郅=tit ; 支=ke,2/2
R16,ruler,復株累若鞮,Fuzhulei Ruodi,Western Han,-31,-20,Hanshu 94B,high,buk ṭio lui ńɑk te,PENDING,,,,,,AUTO_JOINED_LHAN,若鞮 ruodi appears as a recurring suffix in this dynasty phase - Hanshu glosses it as meaning 'filial'. STRONG candidate: a glossed foreign word.,復=buk|buᶜ ; 株=ṭio ; 累=lui|lyaiᴮ|lyaiᶜ|luɑiᴮ ; 若=ńɑk ; 鞮=te|de,5/5,buk tro rui nak tê,復=buk|bukh ; 株=tro ; 累=rui|roiʔ|roih|rôiʔ ; 若=nak ; 鞮=tê|dê,5/5
R17,ruler,搜諧若鞮,Souxie Ruodi,Western Han,-20,-12,Hanshu 94B,high,so gɛi ńɑk te,PENDING,,,,,,AUTO_JOINED_LHAN,Contains 若鞮 suffix.,搜=so|ṣu ; 諧=gɛi ; 若=ńɑk ; 鞮=te|de,4/4,sô grî nak tê,搜=sô|sru ; 諧=grî ; 若=nak ; 鞮=tê|dê,4/4
R18,ruler,車牙若鞮,Cheya Ruodi,Western Han,-12,-8,Hanshu 94B,high,tśʰa ŋa ńɑk te,PENDING,,,,,,AUTO_JOINED_LHAN,Contains 若鞮 suffix.,車=tśʰa|kɨɑ ; 牙=ŋa ; 若=ńɑk ; 鞮=te|de,4/4,k-lha ŋrâ nak tê,車=k-lha|ka ; 牙=ŋrâ ; 若=nak ; 鞮=tê|dê,4/4
R19,ruler,烏珠留若鞮,Wuzhuliu Ruodi,Western Han / Xin,-8,13,Hanshu 94B,high,ʔɑ tśo liu ńɑk te,PENDING,,,,,,AUTO_JOINED_LHAN,Contains 若鞮 suffix.,烏=ʔɑ ; 珠=tśo ; 留=liu ; 若=ńɑk ; 鞮=te|de,5/5,ʔâ to ru nak tê,烏=ʔâ ; 珠=to ; 留=ru ; 若=nak ; 鞮=tê|dê,5/5
R20,ruler,烏累若鞮,Wulei Ruodi,Xin,13,18,Hanshu 94B,high,ʔɑ lui ńɑk te,PENDING,,,,,,AUTO_JOINED_LHAN,Contains 若鞮 suffix.,烏=ʔɑ ; 累=lui|lyaiᴮ|lyaiᶜ|luɑiᴮ ; 若=ńɑk ; 鞮=te|de,4/4,ʔâ rui nak tê,烏=ʔâ ; 累=rui|roiʔ|roih|rôiʔ ; 若=nak ; 鞮=tê|dê,4/4
R21,ruler,呼都而尸道皋若鞮,Huduershi Daogao Ruodi,Xin/Eastern Han,18,46,Hou Hanshu 89,high,hɑ tɑ ńə śi douᴮ kou ńɑk te,PENDING,,,,,,AUTO_JOINED_LHAN,Longest attested name. Contains 若鞮 suffix.,呼=hɑ|hɑᶜ ; 都=tɑ ; 而=ńə|ńɨ ; 尸=śi ; 道=douᴮ|douᶜ ; 皋=kou ; 若=ńɑk ; 鞮=te|de,8/8,hâ tâ nə lhi lûʔ kû nak tê,呼=hâ|hâh ; 都=tâ ; 而=nə ; 尸=lhi ; 道=lûʔ|lûh ; 皋=kû ; 若=nak ; 鞮=tê|dê,8/8
C01,clan,攣鞮,Luandi,Western Han,,,Shiji 110; Hanshu 94A,high,lyan te,PENDING,*lyuan-tlïγ ?,Turkic,'tribe with skewbald horses' ?,cited in overview literature,low,AUTO_JOINED_LHAN,The Xiongnu ruling clan. Hou Hanshu gives the variant 虛連題 Xulianti - TWO transcriptions of one name is a rare and valuable constraint on the reconstruction. HIGH PRIORITY.,攣=lyan ; 鞮=te|de,2/2,ron tê,攣=ron ; 鞮=tê|dê,2/2
