id,entry_type,chinese,pinyin_modern,period,year_start,year_end,source_text,attestation_confidence,lhan_schuessler,emc_baxter_mc,proposed_reading,proposed_language,proposed_meaning,proposer,reading_confidence,verification_status,notes
T01,title,單于,chanyu,Western Han,,,Shiji 110; Hanshu 94A,high,PENDING,PENDING,*darγwa ? / *tarqan ?,contested,'supreme ruler',various,low,UNVERIFIED,The supreme ruler title. Central to the debate; no consensus reading. Attested across the entire Xiongnu period.
T02,title,撑犁孤塗單于,chengli gutu chanyu,Western Han,,,Hanshu 94A,high,PENDING,PENDING,tengri qutu chanyu,contested,"'Heaven's son, the Chanyu'",Hanshu supplies a Chinese gloss,high,UNVERIFIED,"THE most important single item. Hanshu explicitly glosses it: 撑犁 = 天 'heaven', 孤塗 = 子 'son'. A foreign phrase WITH a contemporaneous Chinese translation - the equivalent of a Rosetta line."
T03,lexical,撑犁,chengli,Western Han,,,Hanshu 94A (glossed 天),high,PENDING,PENDING,tengri,Turkic|Mongolic,"'sky, heaven'",widely accepted,high,UNVERIFIED,"Strongest single datum for the Turkic/Altaic side. The tengri match is accepted by nearly everyone, though the word is also an old Wanderwort across Inner Asia."
T04,lexical,孤塗,gutu,Western Han,,,Hanshu 94A (glossed 子),high,PENDING,PENDING,*qut ?,Yeniseian,'son',Vovin 2000,medium,UNVERIFIED,Strongest single datum for the Yeniseian side. Vovin argues Turkic has no good match for 'son' here while Yeniseian *qut fits. Directly opposes T03 in the same phrase - which is exactly why per-item probabilistic scoring matters.
T05,title,閼氏,yanzhi / ezhi,Western Han,,,Shiji 110; Hanshu 94A,high,PENDING,PENDING,,,"'chief consort, queen'",,,UNVERIFIED,Title of the Chanyu's principal wife. Glossed in Chinese sources; a rare feminine-domain term.
T06,title,屠耆,tuqi,Western Han,,,Hanshu 94A (glossed 賢),high,PENDING,PENDING,*toγrï ?,Turkic,"'wise, worthy'",cited in Turkic-hypothesis literature,low,UNVERIFIED,Chinese sources gloss 屠耆 as 賢 'worthy/wise'. Appears in 左右屠耆王 (Wise Kings of Left and Right). GLOSSED - high value.
T07,title,谷蠡,luli / guli,Western Han,,,Shiji 110; Hanshu 94A,high,PENDING,PENDING,,,,,,UNVERIFIED,In 左右谷蠡王. Reading of the characters themselves is disputed in Chinese philology - note the irregular reading.
T08,title,當戶,danghu,Western Han,,,Shiji 110; Hanshu 94A,high,PENDING,PENDING,,,,,,UNVERIFIED,Office title; 大當戶 'Great Danghu'. Characters are meaningful in Chinese - check for calque.
T09,title,骨都侯,guduhou,Western Han,,,Hanshu 94A,high,PENDING,PENDING,,,,,,UNVERIFIED,侯 hou is likely a Chinese rank suffix; segment as 骨都 + 侯.
T10,title,且渠,juqu,Western Han,,,Hanshu 94A,high,PENDING,PENDING,,,,,,UNVERIFIED,Office title.
T11,lexical,徑路,jinglu,Western Han,,,Hanshu 94A,medium,PENDING,PENDING,kingrak ?,Turkic,'sword',cited,low,UNVERIFIED,Xiongnu sacred sword (徑路刀). The Turkic kingrak comparison is speculative.
T12,lexical,服匿,funi,Western Han,,,Hanshu 54 (Su Wu),medium,PENDING,PENDING,,,'a vessel / jar',,,UNVERIFIED,Material-culture loanword into Chinese.
T13,lexical,甌脫,outuo,Western Han,,,Shiji 110; Hanshu 94A,medium,PENDING,PENDING,,,'border watch-post / no-man's land',,,UNVERIFIED,Glossed in commentary; institutional vocabulary.
T14,lexical,胡祿,hulu,Han,,,various,low,PENDING,PENDING,,,'quiver',,,UNVERIFIED,Later attestation; possible Turkic connection but chronologically shaky.
T15,ethnonym,匈奴,Xiongnu,Western Han,,,Shiji 110,high,PENDING,PENDING,,contested,,Beckwith links to Scythian/Saka/Sogdian,low,UNVERIFIED,The ethnonym itself. Also central to the Xiongnu-Hun identification question. Characters carry pejorative semantics in Chinese - transcription may be deliberately distorted. TREAT WITH CAUTION.
T16,ethnonym,羯,Jie,Western Jin,,,Jinshu 95 (the Jie couplet),high,PENDING,PENDING,,contested,,Vovin: Yeniseian; others: Turkic,low,UNVERIFIED,"The Jie couplet in Jinshu is a ten-character transcribed line WITH a Chinese translation - the single most-analyzed piece of Xiongnu-adjacent language data. N=1 but uniquely informative. See Vovin, 'Who were the *KJET'."
